timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:10.108,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.67 ,19.76 ,23.05 ,35.50
2021_11_18_08:12:10.168,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.73 ,0.67 ,19.02 ,22.97 ,35.55
2021_11_18_08:12:10.243,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.61 ,19.23 ,23.27 ,35.64
2021_11_18_08:12:10.304,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.61 ,18.85 ,22.84 ,36.24
2021_11_18_08:12:10.393,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.67 ,19.14 ,23.03 ,35.80
2021_11_18_08:12:10.468,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.67 ,0.49 ,18.74 ,23.38 ,36.02
2021_11_18_08:12:10.544,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.61 ,19.06 ,22.60 ,36.65
2021_11_18_08:12:10.603,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.61 ,19.78 ,22.78 ,34.92
2021_11_18_08:12:10.663,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.79 ,0.85 ,18.85 ,23.16 ,35.17
2021_11_18_08:12:10.753,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.55 ,18.92 ,23.10 ,35.58
2021_11_18_08:12:10.813,-0.03 ,-0.23 ,-0.98 ,-0.49 ,-0.67 ,0.55 ,18.86 ,22.97 ,34.83
2021_11_18_08:12:10.888,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.73 ,0.73 ,19.32 ,23.18 ,35.60
2021_11_18_08:12:10.948,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.61 ,18.90 ,23.36 ,34.96
2021_11_18_08:12:11.024,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.61 ,19.13 ,23.13 ,35.27
2021_11_18_08:12:11.128,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.92 ,0.67 ,19.03 ,23.55 ,35.66
2021_11_18_08:12:11.188,-0.04 ,-0.23 ,-0.98 ,-0.43 ,-0.92 ,0.49 ,19.37 ,23.14 ,35.08
2021_11_18_08:12:11.284,-0.04 ,-0.23 ,-0.98 ,-0.43 ,-0.73 ,0.67 ,19.20 ,22.92 ,35.18
2021_11_18_08:12:11.338,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.61 ,19.46 ,22.95 ,35.89
2021_11_18_08:12:11.413,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.67 ,19.71 ,23.27 ,34.86
2021_11_18_08:12:11.473,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.98 ,0.67 ,19.71 ,23.27 ,34.86
2021_11_18_08:12:11.549,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.67 ,18.79 ,22.85 ,35.46
2021_11_18_08:12:11.638,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.92 ,0.61 ,18.76 ,23.46 ,35.19
2021_11_18_08:12:11.698,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.92 ,0.61 ,18.49 ,23.61 ,35.40
2021_11_18_08:12:11.773,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.67 ,18.76 ,22.94 ,35.68
2021_11_18_08:12:11.833,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.73 ,0.55 ,19.15 ,22.55 ,34.91
2021_11_18_08:12:11.909,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.55 ,19.21 ,23.22 ,36.22
2021_11_18_08:12:11.969,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.55 ,19.21 ,23.22 ,36.22
2021_11_18_08:12:12.044,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.61 ,19.37 ,23.07 ,36.40
2021_11_18_08:12:12.118,-0.04 ,-0.23 ,-0.98 ,-0.43 ,-0.73 ,0.67 ,19.17 ,22.75 ,35.34
2021_11_18_08:12:12.193,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.92 ,0.61 ,19.37 ,23.28 ,35.49
2021_11_18_08:12:12.253,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.73 ,0.55 ,19.78 ,22.62 ,35.24
2021_11_18_08:12:12.329,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.67 ,18.70 ,22.58 ,35.97
2021_11_18_08:12:12.389,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.67 ,18.60 ,22.39 ,34.95
2021_11_18_08:12:12.479,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.43 ,19.03 ,22.75 ,35.71
2021_11_18_08:12:12.554,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.61 ,19.24 ,22.38 ,35.83
2021_11_18_08:12:12.614,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.73 ,0.61 ,18.80 ,22.23 ,36.30
2021_11_18_08:12:12.674,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.61 ,0.61 ,18.90 ,22.88 ,34.83
2021_11_18_08:12:12.779,-0.04 ,-0.23 ,-0.98 ,-0.37 ,-0.67 ,0.55 ,19.19 ,23.27 ,36.11
2021_11_18_08:12:12.854,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.61 ,18.69 ,22.69 ,35.22
2021_11_18_08:12:12.914,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.67 ,18.75 ,23.47 ,35.66
2021_11_18_08:12:12.989,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.61 ,19.27 ,23.61 ,35.95
2021_11_18_08:12:13.064,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.67 ,0.61 ,19.76 ,22.75 ,35.38
2021_11_18_08:12:13.124,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.67 ,0.55 ,18.75 ,23.10 ,35.11
2021_11_18_08:12:13.199,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.92 ,0.55 ,19.03 ,22.94 ,35.02
2021_11_18_08:12:13.274,-0.04 ,-0.23 ,-0.98 ,-0.37 ,-0.67 ,0.55 ,18.91 ,22.80 ,36.33
2021_11_18_08:12:13.379,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.73 ,0.73 ,19.43 ,22.41 ,35.44
2021_11_18_08:12:13.469,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.73 ,0.55 ,18.68 ,22.80 ,35.60
2021_11_18_08:12:13.544,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-1.04 ,0.61 ,18.77 ,23.47 ,34.22
2021_11_18_08:12:13.603,-0.03 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.49 ,19.02 ,23.69 ,35.85
2021_11_18_08:12:13.665,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.67 ,18.71 ,23.80 ,34.92
2021_11_18_08:12:13.739,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.61 ,18.84 ,22.94 ,33.97
2021_11_18_08:12:13.814,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.61 ,18.77 ,22.97 ,35.16
2021_11_18_08:12:13.889,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.55 ,18.68 ,23.29 ,34.27
2021_11_18_08:12:13.964,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.98 ,0.55 ,18.95 ,23.11 ,35.06
2021_11_18_08:12:14.040,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.73 ,0.67 ,18.96 ,23.54 ,34.33
2021_11_18_08:12:14.114,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.79 ,0.67 ,18.95 ,22.84 ,35.19
2021_11_18_08:12:14.174,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.49 ,19.40 ,22.90 ,35.80
2021_11_18_08:12:14.249,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.73 ,0.49 ,19.02 ,22.71 ,35.52
2021_11_18_08:12:14.324,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.67 ,18.79 ,23.06 ,34.90
2021_11_18_08:12:14.385,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.67 ,0.49 ,19.10 ,22.99 ,35.84
2021_11_18_08:12:14.459,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.92 ,0.49 ,19.30 ,23.02 ,36.00
2021_11_18_08:12:14.534,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.73 ,0.61 ,18.97 ,23.25 ,36.77
2021_11_18_08:12:14.609,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.61 ,19.17 ,22.71 ,34.28
2021_11_18_08:12:14.669,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.79 ,0.67 ,19.06 ,23.23 ,34.59
2021_11_18_08:12:14.744,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.61 ,19.60 ,22.91 ,35.16
2021_11_18_08:12:14.835,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.92 ,0.79 ,19.10 ,22.71 ,34.91
